time,T_out,Q_sol,T_Nor,Q_hea_Nor,T_Sou,Q_hea_Sou,T_Eas,Q_hea_Eas,T_Wes,Q_hea_Wes,T_Cor,Q_hea_Cor
0,278.15,0.0,293.10920599085256,0,296.1314172754632,5000,293.11081623278625,0,292.9926372814257,0,293.1267902279097,0
3600,280.7533297070195,130.1664853509754,296.77243943592345,5000,296.2530857214487,0,293.2061868322468,0,293.13844740159476,0,295.45231081642015,5000
7200,283.177128065017,251.35640325084836,297.12299565123425,0,296.4341705575625,0,293.4058545600053,0,293.57077054583107,0,297.93382871452457,5000
10800,285.25424460211957,355.21223010598044,297.53193155288847,0,299.82804938576953,5000,296.3756715405296,5000,298.5660301068453,5000,298.1450675234716,0
14400,286.8414367882028,434.5718394101411,301.6959408464327,5000,300.31865525717285,0,299.3741156827929,5000,303.9056874782126,5000,300.87874493684956,5000
18000,287.82924835518173,483.9624177590879,305.95371690160243,5000,303.8675863430508,5000,302.3484713452445,5000,309.08021881133214,5000,303.48423860874556,5000
21600,288.1495576422767,499.9778821138356,306.611432861446,0,304.37466369868724,0,305.4739557373868,5000,314.39723774244857,5000,306.1676674415448,5000
25200,287.7802754157416,481.5137707870806,307.21829825724814,0,307.97331817020995,5000,305.8779911835863,0,314.99434484587863,0,306.57613976673724,0
28800,286.74686819106273,429.843409553137,307.72368035941395,0,308.3450055714324,0,308.8637940795566,5000,320.0646894263683,5000,309.2520858322119,5000
32400,285.12060200597455,348.53010029872854,311.7606979699432,5000,311.83219879976565,5000,309.12173632952187,0,324.94202385354424,5000,311.7119302555761,5000
36000,283.01362775757264,243.1813878786343,312.0346464721655,0,314.8802341619804,5000,309.30179783984744,0,329.48371558099666,5000,311.767267447778,0
39600,280.57124702949835,121.062351474918,315.52268098605066,5000,317.91273793327576,5000,309.4026189600671,0,329.3705036178573,0,312.02531668681274,0
43200,277.9618917747825,0.0,315.4147696738115,0,317.7871087695239,0,309.27013295263885,0,328.9815995454769,0,311.8110516277453,0
46800,275.3655088774842,0.0,318.86555660342395,5000,320.731999141001,5000,309.2050866370558,0,332.9586502877382,5000,314.1355788394553,5000
50400,272.96115061933074,0.0,322.1466608788088,5000,323.57429312811877,5000,309.0570583035162,0,337.0517594443537,5000,314.00107403226355,0
54000,270.9146268401032,0.0,325.50586108044246,5000,326.312290338993,5000,311.64256611996376,5000,336.51755293656737,0,316.17564113086905,5000
57600,269.3670703259791,0.0,325.23671644136044,0,329.1681866552729,5000,311.53978661402914,0,340.4978283266768,5000,316.03089870411355,0
61200,268.425203981829,0.0,325.0186347970067,0,331.9535611785909,5000,311.3574274442772,0,344.57525033938236,5000,318.28841651136366,5000
64800,268.1539809846966,0.0,328.33867015670967,5000,334.72443448537047,5000,313.96025230060957,5000,348.4963664567837,5000,320.4403100448849,5000
68400,268.57210546968633,0.0,331.6388696649444,5000,337.5294064563997,5000,316.38266282564314,5000,352.2439673571129,5000,320.40503030070306,0
72000,269.65074265162013,0.0,331.34186346628314,0,340.17893569619145,5000,318.70775678465697,5000,356.0503303536094,5000,322.5305285823724,5000
75600,271.3155073353167,0.0,334.63379868758426,5000,343.10789914896765,5000,321.221200601933,5000,360.07627363045793,5000,322.39750709676434,0
79200,273.45159368244435,0.0,337.81488277155756,5000,342.7931307147812,0,323.68568651192675,5000,363.82049089866354,5000,322.2928288967175,0
82800,275.91169247492996,0.0,341.19247038001936,5000,342.5028413095813,0,326.1482054321505,5000,367.6550289671449,5000,322.2860873532472,0
86400,278.5261498830064,18.807494150319755,344.4907051162953,5000,342.31934365579434,0,328.5788237526873,5000,367.02143926238824,0,322.2450476530125,0
90000,281.114667166884,148.23335834419981,348.0427285705139,5000,345.3146606442095,5000,328.57078373494375,0,371.06306007167854,5000,324.57624411377395,5000
93600,283.4987344748569,267.43672374284625,351.6568422339596,5000,345.3910910753383,0,328.86651104877996,0,370.86553083627416,0,324.7843753102192,0
97200,285.5139412757482,368.19706378741284,351.8981372074639,0,345.6824633087685,0,329.02349934122157,0,370.88809903479705,0,325.14319312036065,0
